INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 117 Loss: 22.957046508789062 acc:  100.000/ 28.457 f1:  100.000/ 26.428
DEBUG:root:Epoch: 118 Loss: 22.963159561157227 acc:  100.000/ 28.657 f1:  100.000/ 26.593
DEBUG:root:Epoch: 119 Loss: 22.951372146606445 acc:  100.000/ 28.657 f1:  100.000/ 26.573
DEBUG:root:Epoch: 120 Loss: 22.950326919555664 acc:  100.000/ 28.457 f1:  100.000/ 26.153
DEBUG:root:Epoch: 121 Loss: 22.93063735961914 acc:  100.000/ 28.257 f1:  100.000/ 25.714
DEBUG:root:Epoch: 122 Loss: 22.93136978149414 acc:  100.000/ 28.457 f1:  100.000/ 25.927
DEBUG:root:Epoch: 123 Loss: 22.90520477294922 acc:  100.000/ 28.657 f1:  100.000/ 26.067
DEBUG:root:Epoch: 124 Loss: 22.912076950073242 acc:  100.000/ 28.657 f1:  100.000/ 26.041
DEBUG:root:Epoch: 125 Loss: 22.900867462158203 acc:  100.000/ 28.657 f1:  100.000/ 26.041
DEBUG:root:Epoch: 126 Loss: 22.89948081970215 acc:  100.000/ 28.657 f1:  100.000/ 26.029
DEBUG:root:Epoch: 127 Loss: 22.877277374267578 acc:  100.000/ 28.457 f1:  100.000/ 25.738
DEBUG:root:Epoch: 128 Loss: 22.87047576904297 acc:  100.000/ 28.457 f1:  100.000/ 25.736
DEBUG:root:Epoch: 129 Loss: 22.88576889038086 acc:  100.000/ 28.257 f1:  100.000/ 25.326
DEBUG:root:Epoch: 130 Loss: 22.86968994140625 acc:  100.000/ 28.257 f1:  100.000/ 25.318
DEBUG:root:Epoch: 131 Loss: 22.837413787841797 acc:  100.000/ 28.257 f1:  100.000/ 25.295
DEBUG:root:Epoch: 132 Loss: 22.84906768798828 acc:  100.000/ 28.056 f1:  100.000/ 25.138
DEBUG:root:Epoch: 133 Loss: 22.846834182739258 acc:  100.000/ 28.056 f1:  100.000/ 25.094
DEBUG:root:Epoch: 134 Loss: 22.82854652404785 acc:  100.000/ 27.856 f1:  100.000/ 24.610
DEBUG:root:Epoch: 135 Loss: 22.827314376831055 acc:  100.000/ 27.856 f1:  100.000/ 24.610
DEBUG:root:Epoch: 136 Loss: 22.81763458251953 acc:  100.000/ 27.856 f1:  100.000/ 24.610
DEBUG:root:Epoch: 137 Loss: 22.81388282775879 acc:  100.000/ 27.655 f1:  100.000/ 24.391
DEBUG:root:Epoch: 138 Loss: 22.799633026123047 acc:  100.000/ 27.455 f1:  100.000/ 24.101
DEBUG:root:Epoch: 139 Loss: 22.79549789428711 acc:  100.000/ 27.255 f1:  100.000/ 23.928
DEBUG:root:Epoch: 140 Loss: 22.793542861938477 acc:  100.000/ 27.255 f1:  100.000/ 23.895
DEBUG:root:Epoch: 141 Loss: 22.79039764404297 acc:  100.000/ 27.255 f1:  100.000/ 23.844
DEBUG:root:Epoch: 142 Loss: 22.773759841918945 acc:  100.000/ 27.455 f1:  100.000/ 24.014
DEBUG:root:Epoch: 143 Loss: 22.777549743652344 acc:  100.000/ 27.455 f1:  100.000/ 24.014
DEBUG:root:Epoch: 144 Loss: 22.76826286315918 acc:  100.000/ 27.455 f1:  100.000/ 24.014
DEBUG:root:Epoch: 145 Loss: 22.754243850708008 acc:  100.000/ 27.455 f1:  100.000/ 24.014
DEBUG:root:Epoch: 146 Loss: 22.753572463989258 acc:  100.000/ 27.455 f1:  100.000/ 24.014
DEBUG:root:Epoch: 147 Loss: 22.752761840820312 acc:  100.000/ 27.455 f1:  100.000/ 24.021
DEBUG:root:Epoch: 148 Loss: 22.744474411010742 acc:  100.000/ 27.255 f1:  100.000/ 23.863
DEBUG:root:Epoch: 149 Loss: 22.730052947998047 acc:  100.000/ 27.255 f1:  100.000/ 23.795
DEBUG:root:Epoch: 150 Loss: 22.725364685058594 acc:  100.000/ 27.255 f1:  100.000/ 23.795
DEBUG:root:Epoch: 151 Loss: 22.711528778076172 acc:  100.000/ 27.255 f1:  100.000/ 23.795
DEBUG:root:Epoch: 152 Loss: 22.710338592529297 acc:  100.000/ 27.255 f1:  100.000/ 23.795
DEBUG:root:Epoch: 153 Loss: 22.708526611328125 acc:  100.000/ 27.455 f1:  100.000/ 23.925
DEBUG:root:Epoch: 154 Loss: 22.70572280883789 acc:  100.000/ 27.455 f1:  100.000/ 23.904
DEBUG:root:Epoch: 155 Loss: 22.703510284423828 acc:  100.000/ 27.455 f1:  100.000/ 23.895
DEBUG:root:Epoch: 156 Loss: 22.69683074951172 acc:  100.000/ 27.455 f1:  100.000/ 23.895
